date,platform,text,person,truthfulness category
"September29,2022",a post,Hurricane Ian was orchestrated as part of a pandemic-related conspiracy to devastate Floridians.,Instagram posts,pants-fire
"September28,2022",a tweet,Sen. Marco Rubio and U.S. Rep. Ron DeSantis “voted against aid for Hurricane Sandy.”,Yuh-Line Niou,mostly-true
"September22,2022",a debate,Mark Finchem “wants to strip Arizona’s citizens of their capacity to vote by mail.”,Adrian Fontes,mostly-true
"September27,2022",a post,“All weather is artificially controlled.”,Instagram posts,pants-fire
"September22,2022",a Secretary of State debate,"Ballot harvesting “altered the outcome” of a city council election in Yuma County, Arizona.",Mark Finchem,false
"September16,2022",a post,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,Facebook posts,barely-true
"July28,2022",a speech,"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",Mark Finchem,pants-fire
"September8,2022",a campaign ad,"“Mark Kelly voted against the Keystone pipeline, which caused higher gas prices.”",Saving Arizona PAC,barely-true
"September14,2022",a post,Barack and Michelle Obama are not the real parents of their children.,Facebook posts,pants-fire
"September10,2022",a video,“Trump lawyers all quit on him at the same time.”,Facebook posts,false
"September12,2022",a video,A CNN report on 9/11 proved that a plane never hit the Pentagon.,Instagram posts,false
"September12,2022",an image,“No plane debris was found at the Pentagon.”,Instagram posts,pants-fire
"August28,2022",an interview on CNN,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",Elizabeth Warren,true
"September5,2022",a video on Facebook,"Joe Biden called Pope Francis the “famous African American baseball player in America.""",Facebook posts,false
"September11,2022",a photo on Facebook,"Says of 9/11, “Two planes can’t cause three buildings to collapse in free-fall time.”",Facebook posts,false
"September5,2022",Email,Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”,Republican Governors Association,false
"August29,2022",a video,Executive Order 14067 will allow the federal government to “turn on and turn off your money.”,TikTok posts,false
"September3,2022",a video,President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.,Facebook posts,pants-fire
"September1,2022",in an article,Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,The Gateway Pundit,false
"August24,2022",a Facebook post,"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Facebook posts,false
"August25,2022",an Instagram post,"Instagram’s ""precise location"" feature can be used by criminals to target victims.",Instagram posts,false
"August24,2022",an Instagram post,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Instagram posts,true
"September25,2020",an interview,"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",Pitbull,false
"August22,2022",a tweet,Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home.,Tweets,false
"August7,2022",News release,"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",Ron Johnson,mostly-true
"August16,2022",remarks at the White House,The American Rescue Plan “helped create nearly 10 million new jobs.”,Joe Biden,barely-true
"August17,2022",Instagram post,"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",Instagram posts,false
"August12,2022",Facebook posts,“Free health allowance is available at no cost.”,Facebook posts,false
"August15,2022",a Facebook video,Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.,Facebook posts,pants-fire
"August15,2022",una publicación en Facebook,"“El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan más de $10,000 de deuda”.",Facebook posts,false
"August13,2022",Twitter,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters,true
"August16,2022",a press release,"The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",Rick Scott,barely-true
"August10,2022",an interview on Fox News,"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",Tim Scott,false
"August3,2022",a Facebook post,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.",Facebook posts,pants-fire
"July29,2022",a Facebook post,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,Facebook posts,false
"August12,2022",a statement to the media,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""",Donald Trump,pants-fire
"July29,2022",Email,"""Governor Tony Evers gave counties the green light to defund Wisconsin's police departments.""",Republican Governors Association,barely-true
"August9,2022",a tweet,"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”",Kevin McCarthy,barely-true
"August10,2022",a statement,On taking the Fifth Amendment,Donald Trump,half-flip
"August2,2022",a Facebook post,"Former President Donald Trump asked “for troops around the Capitol to make sure everyone is safe,” on Jan. 6, 2021, but was “turned down by the Democrats.”",Facebook posts,false
"July17,2022",Debate,“We have more oil and gas permits than ever before right now.”,Mandela Barnes,mostly-true
"July25,2022",a tweet,“Biden wants to give illegals ID cards so they can start collecting American benefits.”,Tomi Lahren,false
"August3,2022",an image on Facebook,The CDC has classified monkeypox as an airborne form of herpes that can lead to paralysis.,Facebook posts,false
"August28,2022",a Facebook post,"Synthetic cyanide-based B12 is a ""toxic ingredient in your kids vitamins.""",Facebook posts,false
"July22,2022",remarks at a Trump rally,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”,Blake Masters,barely-true
"July22,2022",a headline,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",The Gateway Pundit,pants-fire
"July20,2022",a Facebook post,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,Facebook posts,pants-fire
"July9,2022",a rally,Ranked choice voting in Alaska is a “total rigged deal.”,Donald Trump,pants-fire
"July14,2022",an Instagram post,"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""",Instagram posts,pants-fire
"July14,2022",a congressional hearing,"""If a 10-year-old became pregnant as a result of rape and it was threatening her life, then that’s not an abortion.""",Catherine Glenn Foster,false
"July14,2022",an Instagram post,"Video shows Biden giving the ""same exact speech"" months apart.",Instagram posts,false
"July5,2022",a Fox News show,"In Kenya, “pregnant women can’t leave the house, so they absolutely have no constructive right to vote.”",Emily Compagno,pants-fire
"July11,2022",a podcast,U.S. Rep. Mayra Flores is “the first Mexican-born member of Congress.”,Lauren Boebert,false
"July9,2022",a Twitter post,There are no artifacts to prove that slave ships existed.,Tweets,pants-fire
"June30,2022",a Facebook post,Fast food chain Wendy’s was “exposed for using horse meat.”,Facebook posts,pants-fire
"June30,2022",a press release,The Civics Secures Democracy Act “would allow the Biden administration to buy off states with $6 billion” if they adopt critical race theory.,Ron DeSantis,false
"July4,2022",a Facebook post,Images show Highland Park shooter had antifa connection,Facebook posts,false
"July4,2022",a Facebook post,"Video shows the aftermath of a mass shooting in Harrisburg, Pennsylvania.",Facebook posts,false
"July5,2022",a tweet,"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",Marjorie Taylor Greene,false
"June24,2022",an Instagram post,“Plan B can cause an abortion. It’s right there on the box.”,Instagram posts,false
"May7,2022",an Instagram post,A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.,Instagram posts,mostly-true
"May25,2022",a tweet,Recent research suggests that 15% of abortions are the result of coercion.,Tweets,barely-true
"June17,2022",a tweet,“American oil is … more affordable” than foreign oil.,Kevin McCarthy,false
"June20,2022",an Instagram post,"According to International Olympic Committee data, “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.""",Instagram posts,false
"June8,2022",a tweet,"“U.S. House of Reps. votes 226-194 to criminalize disassembling, cleaning, and re-assembling your gun without a firearm manufacturer’s license, including 8 Republicans!”",Gun Owners of America,false
"June6,2022",a tweet,Photo shows U.S. Rep. Lauren Boebert with two scantily dressed men.,Tweets,false
"June7,2022",a Facebook post,95-item list of food-destroying incidents demonstrates that “you are duped if you think they aren’t planning a food shortage.”,Facebook posts,false
"June12,2022",a story,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",Bloggers,false
"May24,2022",a tweet,The official pride flag was altered to include Ukrainian colors.,Tweets,false
"June8,2022",a press conference,"The Jan. 6, 2021, attack on the U.S. Capitol “was a dust-up.”",Jack Del Rio,false
"June2,2022",a speech,Gun manufacturers are “the only industry in the country” that have immunity from lawsuits.,Joe Biden,false
"June3,2022",Facebook posts,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,Facebook posts,pants-fire
"June2,2022",a tweet,Biden gave Americans “the cheapest gas prices on Earth.”,Tweets,false
"May30,2022",a Facebook post,Speedway is offering $500 fuel cards for $1.95 to help customers with rising fuel costs.,Facebook posts,pants-fire
"May30,2022",a Facebook post,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.,Facebook posts,false
"May27,2022",a Facebook post,A Costco gas pump screen said “Don’t blame us. Blame Joe Biden.”,Viral image,false
"May28,2022",a Facebook post,"The man who killed the Uvalde, Texas, school shooter “wasn't even an on-duty police officer.”",Facebook posts,false
"May26,2022",a tweet,“These mass shootings happen so much that Ted Cruz really got a template ready to tweet whenever they occur.”,Tweets,false
"May25,2022",a Facebook post,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",Facebook posts,pants-fire
"May17,2022",a Facebook post,There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,Facebook posts,false
"May25,2022",in a post,"""More people die from hands, fists, feet, than rifles.”",Facebook posts,mostly-true
"May22,2022",Instagram posts,A CNN story reported that Rice Krispies added a transgender mascot.,Instagram posts,pants-fire
"May25,2022",a tweet,"ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian.",Tweets,false
"May24,2022",remarks to the media,"“90% of Americans, regardless of political party, want universal background checks.”",Steve Kerr,mostly-true
"May13,2022",a Facebook post,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life.",Facebook posts,false
"May6,2022",a tweet,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Tweets,false
"May9,2022","an interview on Steve Bannon's ""War Room"" podcast",“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,Michele Bachmann,false
"May3,2022",a tweet,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,barely-true
"May14,2022",Twitter posts,"The mass shooting in Buffalo, New York was a “false flag event.”",Tweets,pants-fire
"May10,2022",a Facebook post,The NewProfilePic app is Russian spyware.,Facebook posts,false
"May12,2022",a Facebook post,Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,Facebook posts,false
"May11,2022",a Facebook post,The infant formula shortage was purposely created because Mark Zuckerberg and Bill Gates invested in artificial breast milk.,Facebook posts,false
"May3,2022",a Facebook post,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to “kill our children.”",Facebook posts,false
"May7,2022",a Facebook post,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.,Facebook posts,false
"May8,2022",a tweet,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Pam Keith,false
"May5,2022",a Facebook post,Amber Heard plagiarized lines from the movie “The Talented Mr. Ripley” in her opening statement during the Johnny Depp libel trial.,Facebook posts,false
"April29,2022",a story,“Military Arrests Biden’s Sec. of Agriculture Tom Vilsack.”,Bloggers,pants-fire
"April26,2022",a YouTube video,“mRNA Vaccines Show No Mortality Benefit - Danish Study”,YouTube videos,false
"May3,2022",a Facebook post,Says JFK. Jr is masquerading as QAnon promoter Juan O. Savin.,Facebook posts,pants-fire
"April29,2022",a press conference,"“The student debt that is out there, almost 60% of it is graduate school debt.”",Ron DeSantis,barely-true
"May3,2022",a segment on Fox News,“There are 63 million abortions a year in this country.”,Jeanine Pirro,false
"April24,2022",a blog post,"“A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”",The Gateway Pundit,false
"April30,2022",a post,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”,Facebook posts,false
"April27,2022",a tweet,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,Republican National Committee,false
"April25,2022",a Facebook post,“The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”,Viral image,false
"April24,2022",a debate,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.,David Perdue,pants-fire
"April18,2022",an Instagram post,“Finnish Court rules sex with children is permitted.”,Instagram posts,false
"April18,2022",a Facebook post,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”,Facebook posts,false
"April21,2022",a statement to the media,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,false
"April12,2022",News release,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,Mike Gallagher,mostly-true
"April12,2022",a tweet,A Reddit post shows a parent admitting to forcing their child to continue transitioning by sneaking hormone medication.,Tweets,false
"April5,2022",a letter to President Joe Biden,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",Raphael Warnock,mostly-true
"April18,2022",a Facebook post,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,Instagram posts,false
"April14,2022",a Facebook post,"President Joe Biden was confused, “turned around and shook hands with thin air” after a speech.",Facebook posts,false
"April13,2022",a Facebook post,Ukraine was responsible for the Kramatorsk train station bombing.,Facebook posts,false
"April13,2022",a Facebook post,“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.,Facebook posts,false
"April12,2022",a Facebook post,The Brooklyn subway attack was a false flag.,Facebook posts,pants-fire
"April11,2022",a Facebook post,“Just passed into law today: You cannot go 5 miles over speed limit” in North Carolina.,Facebook posts,false
"April8,2022",in a Twitter post,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.,Occupy Democrats,false
"April11,2022",a press conference,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed.""",Joe Biden,false
"April10,2022",a Facebook post,The COVID-19 vaccines contain “HIV lipid wrappers.”,Facebook posts,pants-fire
"March19,2022",an Instagram post,Disney CEO Bob Chapek was arrested for human trafficking.,Instagram posts,pants-fire
"April1,2022",a Facebook post,John D. Rockefeller coined the term “fossil fuel” to trick people into thinking that his product was scarce and drive up the price when fossil fuels are actually “the second most abundant liquid on the planet.”,Facebook posts,false
"April5,2022",a TV ad,"“Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.""",J.D. Vance,false
"March30,2022",a Facebook post,"“Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick.”",Facebook posts,false
"April4,2022",a Facebook video,The FBI lost Hunter Biden’s laptop.,Donald Trump Jr.,false
"April4,2022",an Instagram post,Says New Zealand Prime Minister Jacinda Ardern said her country doesn’t have to deal with the “rage of older white men” because “we’ve never allowed Rupert Murdoch to set up a media outlet here.”,Instagram posts,false
"April3,2022",a Telegram post,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",Russian Ministry of Defense,false
"March28,2022",a Republican debate,"According to the Census Bureau, “5 million more people voted than were registered to vote” in the 2020 election.",Mike Gibbons,pants-fire
"March30,2022",a Facebook post,"“Democrat’s New Plan: Tax billionaires to lower the deficit by $1 TRILLION and fund clean energy independence. Republican’s New Plan: Raise taxes on households earning less than $50,000 by an ADDITIONAL $4,500 after CUTTING taxes for the rich.”",Facebook posts,barely-true
"March25,2022",a Facebook post,The Biden administration is attempting “to criminalize free speech.”,Sarah Palin,false
"March29,2022",an interview with Just the News,"“You go to a store, they don’t have bread.”",Donald Trump,false
"March27,2022",a Facebook post,A video shows crowds shouting profanity at Joe Biden.,Facebook posts,false
"March20,2022",a Facebook post,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",Facebook posts,barely-true
"March25,2022",a radio interview,The 2021 Georgia Senate runoff and the 2020 presidential election “were stolen.”,David Perdue,pants-fire
"March23,2022",an interview with Fox News,"“If you look at windmills” and the greenhouse gas emissions from building to retiring them, “the overall return is negative.”",Eli Bremer,false
"March21,2022",a Facebook post,“Judge Jackson doesn’t think perverts should have to register (as sex offenders). She says it ‘stigmatizes’ THEM.”,Lars Larson,barely-true
"March16,2022",a Facebook post,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.,Facebook posts,false
"March21,2022",an op-ed,"Judge Ketanji Brown Jackson “gave child porn offenders sentences below the guidelines and below what the prosecutors were requesting,” showing she is “soft on child pornography offenders.”",Josh Hawley,barely-true
"March21,2022",a tweet,Video shows the final moments aboard China Eastern Airlines flight 5735 before it crashed.,Tweets,false
"March14,2022",a Facebook post,"Biden ""wants to buy lithium from China for electric cars.""",Facebook posts,false
"March15,2022",a Fox News appearance,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",Tulsi Gabbard,pants-fire
"March14,2022",a Facebook post,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",Facebook posts,false
"March14,2022",a Facebook post,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,Facebook posts,false
"March13,2022",a Facebook post,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,Facebook posts,false
"March7,2022",a tweet,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,Tweets,false
"March4,2022",a Facebook post,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,Facebook posts,false
"February26,2022",a video,"The U.S. military has reinstated a draft, and women are included.",TikTok posts,pants-fire
"March9,2022",a tweet,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",Tweets,false
"March6,2022",a Facebook post,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",Facebook posts,false
"March8,2022",a speech,"The oil industry has ""9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.""",Joe Biden,mostly-true
"March2,2022",a blog post,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,Bloggers,pants-fire
"February27,2022",a Facebook post,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",Facebook posts,false
"March1,2022",a tweet,Video shows Ukrainian crisis actors come to life after pretending to be dead.,Tweets,false
"February28,2022",a Facebook post,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,Facebook posts,false
"March1,2022",in his State of the Union address,“I’ve been in and out of Iraq and Afghanistan over 40 times.”,Joe Biden,false
"February26,2022",a Facebook post,Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,Facebook posts,false
"February21,2022",in a blog post,Joe Biden was holding a medical device in a photo he tweeted during the 2022 Winter Olympics.,Bloggers,pants-fire
"February25,2022",a speech at the 2022 CPAC meeting,The 2020 election “was stolen from Donald J. Trump.”,Josh Mandel,pants-fire
"February25,2022",a Facebook post,Video shows a Ukrainian fighter pilot shooting down a Russian plane.,Facebook posts,false
"February24,2022",an address to the nation announcing the attack on Ukraine,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,Vladimir Putin,false
"February24,2022",a Facebook post,"This ""footage"" shows Russia attacking Ukraine.",Facebook posts,false
"February19,2022",a talk before a rally,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",Marjorie Taylor Greene,false
"February19,2022",an interview with Steve Bannon,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",J.D. Vance,pants-fire
"February15,2022",a statement to reporters,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",Rick Scott,false
"February14,2022",an Instagram post,Says the FDA said that Pfizer “falsely misled” the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,Instagram posts,pants-fire
"February15,2022",a Facebook post,"""Ivanka Trump charged with major crime.”",Facebook posts,false
"February15,2022",a Facebook post,"Says that President Joe Biden said Americans will start seeing “direct deposits in their bank accounts this weekend,” and that Medicare recipients will get back $2,880.",Facebook posts,pants-fire
"February14,2022",a Facebook post,"Photo shows the freedom convoy in Canberra, Australia, with over 1.5 million cars.",Viral image,pants-fire
"February2,2022",a Facebook ad,“Nevada ranks 50th in election integrity ratings.”,Jesse Haw,barely-true
"January19,2022",a Facebook post,"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.",Facebook posts,false
"January28,2022",Twitter,"""The use of ballot drop boxes and ballot harvesting is illegal.”",Kevin Nicholson,barely-true
"February7,2022",an ad on Facebook,“Joe Biden uses the ATF to illegally track your gun transactions.”,J.D. Vance,false
"February8,2022",a tweet,The Biden administration “is spending $30 million on crack pipes.”,Sean Spicer,barely-true
"February4,2022",an interview with the Washington Post,"""We've had two members engage in a Democrat-led persecution of ordinary citizens who engaged in legitimate political discourse.”",Ronna McDaniel,false
"January31,2022",a blog post,“Facebook is spamming all climate articles by misleading readers about” the accuracy of climate models.,Watts Up With That,false
"January19,2022",Senate,On eliminating the filibuster.,Tammy Baldwin,half-flip
"January31,2022",a Facebook post,“Pennsylvania had 2.6 million mail in votes that the court of appeals of PA held to be unconstitutional. Umm that alone means Biden lost PA.”,Facebook posts,false
"January30,2022",a photo on Facebook,“Over 65% of the country believes that (the) 2020 election was fraudulent. That number was around 35% a year ago.”,Viral image,false
"January30,2022",a statement given to the press,Proposed changes to the Electoral Count act show Pence had the power and “could have overturned the election!”,Donald Trump,false
"January31,2022",a headline,"Bruce Springsteen, Queen, Pearl Jam and Dave Grohl removed their music from Spotify.",Bloggers,false
"January26,2022",a Facebook post,"“Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected by Delta EVERY DAY.”",Tulsi Gabbard,barely-true
"January26,2022",Radio interview,“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,Ron Johnson,false
